,County,Teen Births,Teen Birth Rate,year
89,Wayne,724.0,46.070633153,2016
90,Wells,187.0,28.205128205,2016
91,White,254.0,46.37575315,2016
92,Whitley,237.0,30.743287067,2016
93,,,,2016
94,,,,2016
0,,62583.0,38.889375656,2015
1,Adams,275.0,30.933633296,2015
2,Allen,3545.0,40.193199469,2015
3,Bartholomew,901.0,50.938489371,2015
4,Benton,68.0,32.755298651,2015
5,Blackford,144.0,48.913043478,2015
6,Boone,278.0,20.358842915,2015
7,Brown,76.0,22.073772872,2015
8,Carroll,132.0,27.351844177,2015
9,Cass,441.0,49.049049049,2015
10,Clark,1082.0,46.724532539,2015
11,Clay,270.0,40.927694407,2015
12,Clinton,389.0,49.01096132,2015
13,Crawford,113.0,42.884250474,2015
14,Daviess,335.0,43.917147352,2015
15,Dearborn,396.0,33.866415804,2015
16,Decatur,276.0,48.092002091,2015
17,DeKalb,430.0,41.865446402,2015
18,Delaware,1019.0,24.779923155,2015
19,Dubois,285.0,28.600100351,2015
20,Elkhart,2571.0,52.216828808,2015
21,Fayette,336.0,61.024337087,2015
22,Floyd,679.0,37.791506651,2015
23,Fountain,185.0,47.013977128,2015
24,Franklin,178.0,30.505569837,2015
25,Fulton,223.0,47.987949215,2015
26,Gibson,299.0,37.790697674,2015
27,Grant,858.0,39.531883524,2015
28,Greene,336.0,45.776566757,2015
29,Hamilton,831.0,13.634573735,2015
30,Hancock,448.0,27.659443107,2015
31,Harrison,294.0,34.0199028,2015
32,Hendricks,679.0,20.168716212,2015
33,Henry,407.0,36.06876994,2015
34,Howard,897.0,47.417666649,2015
35,Huntington,303.0,30.646303226,2015
36,Jackson,533.0,55.770639322,2015
37,Jasper,289.0,33.920187793,2015
38,Jay,223.0,41.496092296,2015
39,Jefferson,338.0,36.935854005,2015
40,Jennings,429.0,59.782608696,2015
41,Johnson,1126.0,33.926903492,2015
42,Knox,428.0,41.952558322,2015
43,Kosciusko,755.0,39.564009852,2015
44,LaGrange,268.0,26.225658088,2015
45,Lake,5048.0,41.351628097,2015
46,LaPorte,1118.0,47.226798462,2015
47,Lawrence,489.0,50.046054652,2015
48,Madison,1402.0,46.348639624,2015
49,Marion,11721.0,55.353010626,2015
50,Marshall,401.0,34.766776487,2015
51,Martin,95.0,41.25054277,2015
52,Miami,363.0,44.257498171,2015
53,Monroe,671.0,12.587465061,2015
54,Montgomery,417.0,46.467572989,2015
55,Morgan,632.0,37.826191046,2015
56,Newton,123.0,36.476868327,2015
57,Noble,506.0,43.996174246,2015
58,Ohio,47.0,37.569944045,2015
59,Orange,190.0,39.304923459,2015
60,Owen,220.0,41.525103813,2015
61,Parke,154.0,39.731682147,2015
62,Perry,200.0,51.813471503,2015
63,Pike,121.0,42.620641071,2015
64,Porter,913.0,22.408207343,2015
65,Posey,178.0,28.853947155,2015
66,Pulaski,125.0,39.050296782,2015
67,Putnam,309.0,27.787769784,2015
68,Randolph,284.0,45.165394402,2015
69,Ripley,258.0,36.389280677,2015
70,Rush,183.0,43.927028325,2015
71,St. Joseph,2816.0,38.339528108,2015
72,Scott,344.0,62.785179777,2015
73,Shelby,451.0,44.508043028,2015
74,Spencer,157.0,31.05221519,2015
75,Starke,276.0,46.613747678,2015
76,Steuben,353.0,39.864483343,2015
77,Sullivan,223.0,51.513051513,2015
78,Switzerland,91.0,39.479392625,2015
79,Tippecanoe,1418.0,25.476104923,2015
80,Tipton,125.0,33.912099837,2015
81,Union,75.0,42.134831461,2015
