% Children in Poverty,% LBW,AFGR,County,Graduation Rate,Teen Birth Rate,Teen Births,year
18.4,5.1388888889,,Benton,97.5,32.755298651,68.0,2015
25.1,8.560311284,,Blackford,92.5,48.913043478,144.0,2015
8.7,6.510681587,,Boone,96.511515152,20.358842915,278.0,2015
19.9,5.6338028169,,Brown,92.5,22.073772872,76.0,2015
15.9,7.1984435798,,Carroll,92.5,27.351844177,132.0,2015
21.2,7.723687789,,Cass,85.901559454,49.049049049,441.0,2015
18.4,8.2165109034,,Clark,89.540734109,46.724532539,1082.0,2015
22.7,6.5080789946,,Clay,87.0,40.927694407,270.0,2015
20.6,7.5466025256,,Clinton,88.687358916,49.01096132,389.0,2015
30.4,8.0722891566,,Crawford,92.5,42.884250474,113.0,2015
23.5,6.8102288022,,Daviess,84.836448598,43.917147352,335.0,2015
15.9,7.5723830735,,Dearborn,87.236325386,33.866415804,396.0,2015
18.0,8.0454744206,,Decatur,95.008417508,48.092002091,276.0,2015
18.7,6.6235864297,,DeKalb,91.1896,41.865446402,430.0,2015
27.8,9.3514667866,,Delaware,91.976368159,24.779923155,1019.0,2015
10.4,7.2506738544,,Dubois,89.372865275,28.600100351,285.0,2015
20.3,7.3788206236,,Elkhart,85.502622378,52.216828808,2571.0,2015
25.9,7.7202072539,,Fayette,92.0,61.024337087,336.0,2015
17.7,8.3211678832,,Floyd,89.029380902,37.791506651,679.0,2015
19.2,6.5186246418,,Fountain,91.514830508,47.013977128,185.0,2015
15.9,7.2580645161,,Franklin,86.895781638,30.505569837,178.0,2015
25.2,7.4792243767,,Fulton,90.894736842,47.987949215,223.0,2015
15.9,7.3844030366,,Gibson,90.884074941,37.790697674,299.0,2015
33.3,9.7005778323,,Grant,90.286324786,39.531883524,858.0,2015
20.8,7.5588121867,,Greene,88.856951872,45.776566757,336.0,2015
6.1,7.0608474513,,Hamilton,92.065327339,13.634573735,831.0,2015
9.1,7.4795616629,,Hancock,91.852816153,27.659443107,448.0,2015
17.3,7.5057358243,,Harrison,92.523517382,34.0199028,294.0,2015
7.7,7.0754716981,,Hendricks,95.537174721,20.168716212,679.0,2015
23.8,8.1260844419,,Henry,90.227859779,36.06876994,407.0,2015
24.2,7.3515423291,,Howard,89.420326864,47.417666649,897.0,2015
18.5,9.0055069647,,Huntington,88.0,30.646303226,303.0,2015
17.8,7.2273986401,,Jackson,92.380081301,55.770639322,533.0,2015
14.7,6.7314365024,,Jasper,90.221606648,33.920187793,289.0,2015
27.2,8.6320754717,,Jay,93.0,41.496092296,223.0,2015
22.3,8.4758646902,,Jefferson,84.922413793,36.935854005,338.0,2015
24.0,8.1947743468,,Jennings,85.0,59.782608696,429.0,2015
14.7,6.9525716046,,Johnson,91.004558405,33.926903492,1126.0,2015
23.8,8.59375,,Knox,80.375615764,41.952558322,428.0,2015
17.8,7.016357983,,Kosciusko,86.669124877,39.564009852,755.0,2015
19.3,5.298781667,,LaGrange,90.931635389,26.225658088,268.0,2015
27.7,9.7608995253,,Lake,81.514389652,41.351628097,5048.0,2015
26.9,9.4851234438,,LaPorte,88.268240343,47.226798462,1118.0,2015
20.4,8.8806396345,,Lawrence,86.373552124,50.046054652,489.0,2015
29.6,8.3753602305,,Madison,86.744560487,46.348639624,1402.0,2015
30.1,9.3286024647,,Marion,77.161560458,55.353010626,11721.0,2015
18.2,6.3874103217,,Marshall,89.006161972,34.766776487,401.0,2015
21.4,6.4835164835,,Martin,74.940944882,41.25054277,95.0,2015
25.8,8.8224831021,,Miami,92.111260054,44.257498171,363.0,2015
17.8,7.2022767075,,Monroe,90.372646184,12.587465061,671.0,2015
19.4,7.8091765421,,Montgomery,97.5,46.467572989,417.0,2015
18.7,7.9356755812,,Morgan,88.443195266,37.826191046,632.0,2015
17.2,5.7843137255,,Newton,83.380681818,36.476868327,123.0,2015
19.3,7.5235797324,,Noble,87.018292683,43.996174246,506.0,2015
17.2,6.3106796117,,Ohio,82.5,37.569944045,47.0,2015
27.6,8.3847102343,,Orange,90.848623853,39.304923459,190.0,2015
25.2,7.0481927711,,Owen,87.5,41.525103813,220.0,2015
28.5,7.1158213475,,Parke,86.428571429,39.731682147,154.0,2015
19.4,9.4488188976,,Perry,85.936018957,51.813471503,200.0,2015
18.6,9.6585365854,,Pike,97.5,42.620641071,121.0,2015
15.0,6.9646241314,,Porter,91.590009653,22.408207343,913.0,2015
13.4,6.8205666317,,Posey,86.03968254,28.853947155,178.0,2015
19.9,6.0747663551,,Pulaski,85.505952381,39.050296782,125.0,2015
18.2,6.6641133665,,Putnam,81.388888889,27.787769784,309.0,2015
26.2,8.3486238532,,Randolph,90.0,45.165394402,284.0,2015
15.1,6.8870523416,,Ripley,83.899253731,36.389280677,258.0,2015
19.1,8.1101190476,,Rush,97.5,43.927028325,183.0,2015
29.1,8.3073566085,,St. Joseph,83.582208807,38.339528108,2816.0,2015
24.5,9.2228464419,,Scott,72.308823529,62.785179777,344.0,2015
18.1,7.2697899838,,Shelby,89.126102293,44.508043028,451.0,2015
13.8,7.1875,,Spencer,90.678694158,31.05221519,157.0,2015
28.4,7.3872087258,,Starke,80.789473684,46.613747678,276.0,2015
19.0,7.6007677543,,Steuben,86.315705128,39.864483343,353.0,2015
23.8,7.5093867334,,Sullivan,87.5,51.513051513,223.0,2015
32.6,5.8230683091,,Switzerland,87.5,39.479392625,91.0,2015
18.5,7.0156399617,,Tippecanoe,86.466295812,25.476104923,1418.0,2015
14.5,7.962962963,,Tipton,95.816582915,33.912099837,125.0,2015
21.2,5.8430717863,,Union,82.334710744,42.134831461,75.0,2015
26.9,9.3313253012,,Vanderburgh,82.577524038,41.09772423,1842.0,2015
20.3,8.5397096499,,Vermillion,89.857142857,43.088490457,149.0,2015
29.7,7.8439917202,,Vigo,91.0,42.968616894,1261.0,2015
21.3,8.5848686789,,Wabash,91.130319149,33.801235261,301.0,2015
